rank,name
1,Johannes Gutenberg
2,Christopher Columbus
3,Martin Luther
4,Galileo Galilei
5,William Shakespeare
6,Sir Isaac Newton
7,Charles Darwin
8,St Thomas Aquinas
9,Leonardo Da Vinci
10,Ludwig Van Beethoven
11,John Locke
12,Mohandas Gandhi
13,Michelangelo Buonarroti
14,Karl Marx
15,Sigmund Freud
16,Napoleon Bonaparte
17,Albert Einstein
18,Nicholas Copernicus
19,Jean-Jacques Rousseau
20,Adolf Hitler
21,Adam Smith
22,George Washington
23,Wilbur Wright
24,Orville Wright
25,Rene Descartes
26,Louis Pasteur (1822-1895)
27,Peter the Great
28,Thomas Alva Edison - American
29,William I of England
30,Dante Alighieri
31,Elizabeth I 1588-1603
32,Abraham Lincoln
33,Johannes Kepler
34,Leo Tolstoy
35,Johann Sebastian Bach
36,Voltaire
37,Franklin Delano Roosevelt
38,Winston Churchill
39,St. Francis of Assisi
40,Niccolo Machiavelli
